date,open,high,close,low,volume,amount,factor
2015-01-23,14.72,14.72,14.72,14.72,44400.0,653568.0,1.0
2015-01-26,16.19,16.19,16.19,16.19,6700.0,108473.0,1.0
2015-01-27,17.81,17.81,17.81,17.81,26000.0,463060.0,1.0
2015-01-28,19.59,19.59,19.59,19.59,54400.0,1065696.0,1.0
2015-01-29,21.55,21.55,21.55,21.55,124199.0,2676488.0,1.0
2015-01-30,23.71,23.71,23.71,23.71,246333.0,5840555.0,1.0
2015-02-02,26.08,26.08,26.08,26.08,314200.0,8194336.0,1.0
2015-02-03,28.69,28.69,28.69,28.69,185800.0,5330602.0,1.0
2015-02-04,31.56,31.56,31.56,31.56,380099.0,11995924.0,1.0
2015-02-05,34.72,34.72,34.72,34.72,335450.0,11646824.0,1.0
2015-02-06,36.0,36.0,31.25,31.25,5562734.0,185196384.0,1.0
2015-02-09,28.13,28.13,28.13,28.13,204800.0,5761024.0,1.0
2015-02-10,25.32,30.93,26.75,25.32,8910327.0,231646384.0,1.0
2015-02-11,25.99,26.66,26.05,25.6,7770653.0,201781120.0,1.0
2015-02-12,25.75,26.13,25.69,25.28,4554403.0,116884000.0,1.0
2015-02-13,25.71,26.11,25.94,25.6,5968961.0,153955088.0,1.0
2015-02-16,25.98,25.98,25.62,25.36,3357436.0,86064256.0,1.0
2015-02-17,25.68,25.73,25.31,25.3,2885318.0,73467536.0,1.0
2015-02-25,25.5,25.5,25.25,25.21,1976149.0,50047992.0,1.0
2015-02-26,25.19,25.5,25.42,25.03,2239110.0,56689008.0,1.0
2015-02-27,25.43,25.69,25.58,25.33,2433078.0,62028104.0,1.0
2015-03-02,25.6,26.64,26.55,25.45,5082368.0,131840616.0,1.0
2015-03-03,26.25,26.25,25.58,25.57,3783567.0,97817616.0,1.0
2015-03-04,25.49,25.96,25.74,25.39,2550477.0,65417240.0,1.0
2015-03-05,25.72,25.86,25.63,25.58,2115434.0,54366536.0,1.0
2015-03-06,25.63,25.72,25.03,25.02,2412755.0,60969056.0,1.0
2015-03-09,24.9,24.9,24.46,24.05,1885330.0,45896448.0,1.0
2015-03-10,24.46,24.94,24.91,24.41,1767112.0,43689440.0,1.0
2015-03-11,24.85,24.99,24.87,24.7,1533155.0,38079016.0,1.0
2015-03-12,24.96,25.01,24.38,24.26,1894558.0,46496212.0,1.0
2015-03-13,24.38,25.0,24.96,24.38,1895948.0,46998876.0,1.0
2015-03-16,25.23,26.26,26.24,25.08,5590415.0,145019904.0,1.0
2015-03-17,26.6,26.85,26.33,25.99,4992511.0,131393656.0,1.0
2015-03-18,26.2,28.61,28.59,26.1,6304226.0,172217344.0,1.0
2015-03-19,28.5,28.96,28.44,27.38,4778847.0,134576896.0,1.0
2015-03-20,27.89,29.88,29.3,27.89,4660349.0,133809912.0,1.0
2015-03-23,29.33,29.45,29.12,28.8,2892758.0,83868696.0,1.0
2015-03-24,29.12,29.35,28.58,27.5,3278149.0,93626240.0,1.0
2015-03-25,28.4,29.3,29.1,27.72,3587749.0,103197136.0,1.0
2015-03-26,28.67,29.88,28.66,28.65,2620797.0,76399920.0,1.0
2015-03-27,28.65,30.1,29.42,28.43,3574538.0,105654472.0,1.0
2015-03-30,29.15,29.48,29.28,28.91,1873000.0,54581052.0,1.0
2015-03-31,29.21,29.37,28.6,28.5,2180449.0,63020884.0,1.0
2015-04-01,28.55,29.2,29.07,28.47,1729900.0,49832888.0,1.0
2015-04-02,29.1,30.99,30.33,28.9,3480802.0,103738080.0,1.0
2015-04-03,30.0,30.79,30.3,29.31,2945622.0,88595536.0,1.0
2015-04-07,30.48,31.6,31.33,30.48,4634792.0,144557376.0,1.0
2015-04-08,31.42,31.68,31.57,30.42,3280538.0,102053728.0,1.0
2015-04-09,31.6,31.78,31.09,29.8,2503428.0,77125208.0,1.0
2015-04-10,30.26,31.03,30.72,29.97,2745092.0,84128520.0,1.0
2015-04-13,31.0,31.95,31.57,30.42,4133521.0,128640080.0,1.0
2015-04-14,31.4,31.76,31.0,30.68,2345653.0,73363400.0,1.0
2015-04-15,31.0,31.08,28.82,28.8,2165301.0,64350928.0,1.0
2015-04-16,28.8,29.45,29.18,28.21,2275803.0,65351772.0,1.0
2015-04-17,29.24,29.64,29.13,29.01,2625110.0,76880816.0,1.0
2015-04-20,29.1,30.56,30.39,28.18,4820401.0,143013232.0,1.0
2015-04-21,30.18,33.43,33.43,30.1,8460416.0,276432064.0,1.0
2015-04-22,34.1,35.88,34.18,33.0,8677541.0,294506144.0,1.0
2015-04-23,34.45,35.2,34.21,33.88,4871073.0,168062176.0,1.0
2015-04-24,33.1,34.14,33.21,32.8,3522767.0,117321384.0,1.0
2015-04-27,32.81,36.53,36.53,32.81,6106256.0,214932560.0,1.0
2015-04-28,36.9,40.18,40.18,35.0,7763312.0,291428032.0,1.0
2015-04-29,40.68,44.2,44.2,39.38,6880269.0,288069600.0,1.0
2015-04-30,45.35,48.62,47.43,45.35,10361470.0,495143264.0,1.0
2015-05-04,46.17,52.17,52.17,42.7,9020271.0,413108256.0,1.0
2015-05-05,52.0,56.01,49.91,48.0,9210738.0,472481088.0,1.0
2015-05-06,49.62,52.39,52.21,47.0,8809841.0,444474656.0,1.0
2015-05-07,50.03,53.65,53.03,49.11,5712118.0,297924064.0,1.0
2015-05-08,52.61,58.3,52.27,51.48,10055163.0,540879488.0,1.0
2015-05-11,50.12,57.5,57.5,50.03,8249042.0,449883072.0,1.0
2015-05-12,57.99,63.25,63.25,56.44,6421919.0,387886016.0,1.0
2015-05-13,63.8,69.58,69.55,60.51,7727554.0,492012768.0,1.0
2015-05-14,67.43,68.98,64.19,63.89,9712599.0,634736960.0,1.0
2015-05-15,62.0,67.95,64.87,58.69,9689252.0,618614272.0,1.0
2015-05-18,63.11,66.88,66.22,63.0,8081871.0,524428128.0,1.0
2015-05-19,66.5,72.84,72.84,64.15,5381770.0,377175520.0,1.0
2015-05-20,71.5,80.12,77.25,71.2,3658236.0,287882784.0,1.0
2015-05-21,78.1,84.98,84.98,73.88,7385053.0,578929280.0,1.0
2015-05-22,84.0,92.0,84.35,82.0,5259216.0,458229728.0,1.0
2015-05-25,80.19,92.76,92.76,78.175,8239165.0,693172480.0,1.002
2015-05-26,93.211,97.03,93.231,90.154,4973282.0,463769824.0,1.002
2015-05-27,92.219,100.238,99.065,89.201,9137428.0,848463488.0,1.002
2015-05-28,96.028,103.044,91.317,91.016,5886227.0,572345280.0,1.002
2015-05-29,85.302,97.231,96.208,85.302,11098494.0,1019339520.0,1.002
2015-06-01,94.123,94.925,92.098,89.101,4875120.0,448942656.0,1.002
2015-06-02,90.114,91.216,86.886,86.806,3000687.0,266648224.0,1.002
2015-06-03,86.906,88.089,83.999,80.19,3864600.0,317690336.0,1.002
2015-06-04,83.999,84.17,83.207,77.604,2427820.0,198456016.0,1.002
2015-06-05,83.298,84.701,81.804,80.19,3773899.0,308600256.0,1.002
2015-06-08,81.193,83.698,81.513,79.398,3869433.0,315708544.0,1.002
2015-06-09,80.691,85.182,83.578,78.185,4157538.0,340829696.0,1.002
2015-06-10,82.295,88.71,87.468,81.193,2936298.0,252499584.0,1.002
2015-06-11,87.177,96.218,95.456,84.49,9182627.0,844137280.0,1.002
2015-06-12,92.098,98.343,93.422,89.212,5258721.0,486905568.0,1.002
2015-06-15,91.818,102.243,98.654,89.873,5529790.0,527966592.0,1.002
2015-06-16,98.283,104.748,100.047,95.306,2965238.0,296704256.0,1.002
2015-06-17,97.331,104.247,100.488,96.228,4456490.0,445047808.0,1.002
2015-06-18,98.233,102.242,100.178,97.742,2828980.0,283417728.0,1.002
2015-06-19,98.173,100.268,99.095,90.164,5749855.0,537415616.0,1.002
2015-06-23,100.238,109.009,109.009,98.233,4947302.0,514678368.0,1.002
2015-06-24,108.157,119.884,115.434,107.054,4351032.0,498905088.0,1.002
2015-06-25,115.273,117.278,116.055,103.886,4752396.0,517230112.0,1.002
2015-06-26,110.051,115.374,112.146,105.25,3353622.0,369749120.0,1.002
2015-06-29,112.918,115.835,104.949,100.929,5381134.0,556315840.0,1.002
2015-06-30,95.617,104.247,102.303,94.454,3746055.0,369495232.0,1.002
2015-07-01,98.233,107.154,99.526,96.238,2400735.0,245108336.0,1.002
2015-07-02,96.389,102.232,90.445,89.572,2246921.0,208902432.0,1.002
2015-07-03,82.195,95.216,94.735,81.694,2818794.0,258592064.0,1.002
2015-07-06,104.207,104.207,94.875,89.713,3035940.0,295163936.0,1.002
2015-07-07,91.226,94.725,92.82,89.512,2569256.0,233995904.0,1.002
2015-07-08,93.221,99.135,96.78,83.859,2462347.0,231417856.0,1.002
2015-07-09,95.226,106.462,106.462,92.269,2435092.0,250393936.0,1.002
2015-07-10,106.523,117.108,117.108,104.237,2003323.0,227660624.0,1.002
2015-07-13,120.285,126.299,121.819,115.474,2955666.0,357918656.0,1.002
2015-07-14,117.078,133.647,123.934,112.366,2681083.0,329127232.0,1.002
2015-07-15,120.014,123.292,122.059,111.544,4105898.0,483833440.0,1.002
2015-07-16,122.49,127.202,123.473,117.478,3214074.0,393630816.0,1.002
